x_local,y_local,state
-0.07,-0.1375,Orbit
2.6226,-1.7885,Orbit
2.8663,-5.0641,Orbit
0.2375,-6.999,Orbit
-2.7841,-5.8075,Orbit
-3.3805,-2.6264,Orbit
-1.6195,-0.6371,Orbit
-0.3199,-0.2874,Normal
0.5798,-0.1875,Normal
2.779,0.4621,Normal
4.4965,3.3495,Orbit
7.7733,3.5887,Orbit
9.7049,0.9566,Orbit
8.5088,-2.0638,Orbit
5.3265,-2.6557,Orbit
3.4073,-1.1241,Orbit
3.1289,1.2615,Normal
3.6287,2.4607,Normal
8.3389,3.7597,Normal
11.426,4.0595,Normal
11.4705,7.3838,Orbit
14.2623,9.1557,Orbit
17.2242,7.7415,Orbit
17.598,4.5008,Orbit
15.0644,2.4706,Orbit
12.6438,2.7693,Orbit
7.6946,3.4763,Normal
3.3455,2.1775,Normal
0.0,0.0,Normal